ID,Name,Age,averagePoints,averagePoints,Price,position,gamesPlayed,Drafted,Ignored,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Corey Warner,22,49.4,49.4,519000,Fwd,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Dan Butler,29,38.8,38.8,414000,Fwd,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Dan Houston,28,66.8,66.8,701000,Def,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Dane Rampe,35,55.5,55.5,582000,Def,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Daniel Annable,18,0,0,330000,Mid,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Daniel Curtin,20,65.2,65.2,684000,Mid,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Daniel McStay,30,56.6,56.6,593000,Fwd,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Daniel Rioli,28,72.4,72.4,747000,Def,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Daniel Turner,24,58.2,58.2,610000,Def,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Dante Visentini,23,53.9,53.9,539000,Ruck,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Darcy Byrne-Jones,30,56.5,56.5,593000,Fwd,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Darcy Cameron,30,102,102,1070000,Ruck,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Darcy Fogarty,26,59.3,59.3,622000,Fwd,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Darcy Fort,32,69.2,69.2,726000,Ruck,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Darcy Gardiner,30,41.6,41.6,437000,Def,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Darcy Jones,21,62.1,62.1,651000,Fwd,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Darcy Moore,30,44.2,44.2,466000,Def,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Darcy Parish,28,85.3,85.3,759000,Mid,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
