ID,Name,Age,Average,Predicted,Price,Position,Games,Drafted,Ignored
752,Hugh Bond,20,36.4,36.4,340000,def,7,0,0
753,Kallan Dawson,26,38.9,38.9,399000,def,11,0,0
754,Esava Ratugolea,26,49.4,49.4,506000,def,20,0,0
755,Ash Johnson,27,18,18,371000,fwd,3,0,0
756,Max Gruzewski,20,17,17,230000,fwd,4,0,0
757,Cooper Simpson,19,23.5,23.5,230000,fwd,2,0,0
758,Tew Jiath,19,27,27,230000,def,1,0,0
759,Brynn Teakle,25,39.2,39.2,402000,fwd,11,0,0
760,Zaine Cordy,28,35.6,35.6,378000,def,8,0,0
761,Toby Pink,26,32.9,32.9,338000,fwd,15,0,0
762,Jed Walter,19,34.4,34.4,353000,fwd,14,0,0
763,Lewis Melican,28,38.2,38.2,392000,def,21,0,0
764,Harvey Johnston,19,28.8,28.8,260000,def,6,0,0
765,Connor O'Sullivan,19,40,40,300000,def,1,0,0
766,Rhett Bazzo,21,26,26,230000,def,1,0,0
767,Wil Dawson,19,24.3,24.3,230000,def,3,0,0
768,Jack Buller,23,0,0,230000,fwd,0,0,0
769,Josh Gibcus,21,25.5,25.5,230000,def,2,0,0
770,Zach Reid,22,17,17,230000,def,1,0,0
771,Loch Rawlinson,19,22,22,230000,fwd,1,0,0
772,Ethan Read,19,20.5,20.5,230000,fwd,4,0,0
773,Callum Jamieson,24,47.5,47.5,400000,def,4,0,0
774,Billy Frampton,28,37.2,37.2,382000,def,18,0,0
775,James Blanck,24,0,0,230000,def,0,0,0
776,Hugh Davies,20,16,16,230000,def,2,0,0
